no	date	place	latitude	longitude	deep	mag	intensity	name
48	2016/04/16 01:33:20.9	熊本県熊本地方	32°49.7′N	130°49.3′E	12km	Ｍ4.6	４
49	2016/04/16 01:30:51.9	熊本県熊本地方	32°38.9′N	130°42.5′E	11km	Ｍ5.3	４
50	2016/04/16 01:30:07.5	熊本県熊本地方	32°50.6′N	130°48.2′E	13km	Ｍ4.4	４
51	2016/04/16 01:29:11.0	熊本県熊本地方	32°44.4′N	130°45.9′E	10km	Ｍ4.6	４
52	2016/04/16 01:27:59.9	熊本県熊本地方	32°40.4′N	130°43.1′E	13km	Ｍ4.4	４
53	2016/04/16 01:26:52.9	熊本県熊本地方	32°39.9′N	130°43.4′E	10km	Ｍ4.7	４
54	2016/04/16 01:25:05.4	熊本県熊本地方	32°45.2′N	130°45.7′E	12km	Ｍ7.3	７
55	2016/04/15 15:27:51.7	熊本県熊本地方	32°50.4′N	130°52.9′E	12km	Ｍ4.2	４
56	2016/04/15 13:50:00.5	熊本県熊本地方	32°43.2′N	130°45.8′E	12km	Ｍ4.0	３
57	2016/04/15 07:46:52.0	熊本県熊本地方	32°43.8′N	130°47.8′E	11km	Ｍ4.4	４
58	2016/04/15 07:29:55.9	熊本県熊本地方	32°50.1′N	130°53.2′E	12km	Ｍ4.2	４
59	2016/04/15 05:10:36.8	熊本県熊本地方	32°45.7′N	130°48.7′E	10km	Ｍ4.6	４
60	2016/04/15 03:36:59.1	熊本県熊本地方	32°40.2′N	130°44.4′E	11km	Ｍ4.1	４
61	2016/04/15 03:29:18.2	茨城県沖	36°13.2′N	141°47.7′E	55km	Ｍ4.4	１
62	2016/04/15 02:14:35.6	熊本県熊本地方	32°42.2′N	130°45.3′E	11km	Ｍ4.2	３
63	2016/04/15 01:53:01.4	熊本県熊本地方	32°42.0′N	130°45.1′E	12km	Ｍ4.8	５弱
64	2016/04/15 00:50:31.4	熊本県熊本地方	32°44.2′N	130°45.5′E	13km	Ｍ4.2	４
65	2016/04/15 00:34:17.1	熊本県熊本地方	32°41.5′N	130°44.8′E	13km	Ｍ4.5	４
66	2016/04/15 00:25:38.8	駿河湾南方沖	34°10.9′N	138°24.1′E	279km	Ｍ4.8	２
67	2016/04/15 00:06:21.3	熊本県熊本地方	32°41.7′N	130°45.1′E	11km	Ｍ5.0	５強
68	2016/04/15 00:03:46.4	熊本県熊本地方	32°42.0′N	130°46.6′E	7km	Ｍ6.4	６強
69	2016/04/14 23:45:54.7	熊本県熊本地方	32°46.1′N	130°49.1′E	12km	Ｍ4.1	３
70	2016/04/14 23:43:41.1	熊本県熊本地方	32°46.0′N	130°49.6′E	14km	Ｍ5.1	５弱
71	2016/04/14 23:29:58.1	熊本県熊本地方	32°46.6′N	130°50.2′E	13km	Ｍ4.6	４
72	2016/04/14 23:28:13.6	熊本県熊本地方	32°47.3′N	130°51.1′E	13km	Ｍ4.4	４
